"","Country","Code","Region","Year","Unemployment","IncomeGroup"
"1","Afghanistan","AFG","South Asia",2020,11.73,"Low income"
"2","Albania","ALB","Europe & Central Asia",2020,11.7,"Upper middle income"
"3","Algeria","DZA","Middle East & North Africa",2020,12.83,"Lower middle income"
"4","Angola","AGO","Sub-Saharan Africa",2020,7.7,"Lower middle income"
"5","Argentina","ARG","Latin America & Caribbean",2020,11.67,"Upper middle income"
"6","Armenia","ARM","Europe & Central Asia",2020,20.21,"Upper middle income"
"7","Australia","AUS","East Asia & Pacific",2020,6.61,"High income"
"8","Austria","AUT","Europe & Central Asia",2020,5.77,"High income"
"9","Azerbaijan","AZE","Europe & Central Asia",2020,6.27,"Upper middle income"
"10","Bahamas","BHS","Latin America & Caribbean",2020,14.41,"High income"
"11","Bahrain","BHR","Middle East & North Africa",2020,4.09,"High income"
"12","Bangladesh","BGD","South Asia",2020,5.3,"Lower middle income"
"13","Barbados","BRB","Latin America & Caribbean",2020,12.79,"High income"
"14","Belarus","BLR","Europe & Central Asia",2020,5.28,"Upper middle income"
"15","Belgium","BEL","Europe & Central Asia",2020,6.01,"High income"
"16","Belize","BLZ","Latin America & Caribbean",2020,7.82,"Lower middle income"
"17","Benin","BEN","Sub-Saharan Africa",2020,2.54,"Lower middle income"
"18","Bhutan","BTN","South Asia",2020,3.74,"Lower middle income"
"19","Bolivia","BOL","Latin America & Caribbean",2020,5.61,"Lower middle income"
"20","Bosnia and Herzegovina","BIH","Europe & Central Asia",2020,16.85,"Upper middle income"
"21","Botswana","BWA","Sub-Saharan Africa",2020,17.7,"Upper middle income"
"22","Brazil","BRA","Latin America & Caribbean",2020,13.67,"Upper middle income"
"23","Brunei","BRN","East Asia & Pacific",2020,8.37,"High income"
"24","Bulgaria","BGR","Europe & Central Asia",2020,5.71,"Upper middle income"
"25","Burkina Faso","BFA","Sub-Saharan Africa",2020,4.96,"Low income"
"26","Burundi","BDI","Sub-Saharan Africa",2020,0.8,"Low income"
"27","Cambodia","KHM","East Asia & Pacific",2020,0.31,"Lower middle income"
"28","Cameroon","CMR","Sub-Saharan Africa",2020,3.62,"Lower middle income"
"29","Canada","CAN","North America",2020,9.48,"High income"
"30","Cape Verde","CPV","Sub-Saharan Africa",2020,13.41,"Lower middle income"
"31","Central African Republic","CAF","Sub-Saharan Africa",2020,4.33,"Low income"
"32","Chad","TCD","Sub-Saharan Africa",2020,2.26,"Low income"
"33","Chile","CHL","Latin America & Caribbean",2020,11.51,"High income"
"34","China","CHN","East Asia & Pacific",2020,5,"Upper middle income"
"35","Colombia","COL","Latin America & Caribbean",2020,15.44,"Upper middle income"
"36","Comoros","COM","Sub-Saharan Africa",2020,8.43,"Lower middle income"
"37","Congo","COG","Sub-Saharan Africa",2020,10.27,"Lower middle income"
"38","Costa Rica","CRI","Latin America & Caribbean",2020,17.08,"Upper middle income"
"39","Cote d'Ivoire","CIV","Sub-Saharan Africa",2020,3.5,"Lower middle income"
"40","Croatia","HRV","Europe & Central Asia",2020,7.2,"High income"
"41","Cuba","CUB","Latin America & Caribbean",2020,3.87,"Upper middle income"
"42","Cyprus","CYP","Europe & Central Asia",2020,7.21,"High income"
"43","Czechia","CZE","Europe & Central Asia",2020,2.94,"High income"
"44","Democratic Republic of Congo","COD","Sub-Saharan Africa",2020,4.55,"Low income"
"45","Denmark","DNK","Europe & Central Asia",2020,5.66,"High income"
"46","Djibouti","DJI","Middle East & North Africa",2020,11.57,"Lower middle income"
"47","Dominican Republic","DOM","Latin America & Caribbean",2020,8.9,"Upper middle income"
"48","Ecuador","ECU","Latin America & Caribbean",2020,6.23,"Upper middle income"
"49","Egypt","EGY","Middle East & North Africa",2020,10.45,"Lower middle income"
"50","El Salvador","SLV","Latin America & Caribbean",2020,6.98,"Lower middle income"
"51","Equatorial Guinea","GNQ","Sub-Saharan Africa",2020,9.15,"Upper middle income"
"52","Eritrea","ERI","Sub-Saharan Africa",2020,7.44,"Low income"
"53","Estonia","EST","Europe & Central Asia",2020,6.46,"High income"
"54","Eswatini","SWZ","Sub-Saharan Africa",2020,23.4,"Lower middle income"
"55","Ethiopia","ETH","Sub-Saharan Africa",2020,2.79,"Low income"
